entity_name,entity_type,source_document
AI Automation,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
AI Ethics Officer,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
Agility,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Artificial Intelligence,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Big Data,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Blockchain Adoption,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Creativity,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Critical Thinking,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Curiosity,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
DSTI,Organization,Concept Note - AI Powered REF Career Guidance Tool.pdf
Data Scientist,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
Financial Technology,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Gig Economy,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Green Transition,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
HSRC,Organization,Concept Note - AI Powered REF Career Guidance Tool.pdf
Healthcare,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Machine Learning,Economic_Trend,Concept Note - AI Powered REF Career Guidance Tool.pdf
Project Management,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Python Programming,Skill,Concept Note - AI Powered REF Career Guidance Tool.pdf
Renewable Energy,Industry,Concept Note - AI Powered REF Career Guidance Tool.pdf
Robotics Engineer,Career_Pathway,Concept Note - AI Powered REF Career Guidance Tool.pdf
AI,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
IT,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
NGO operations,Organization,Describing The Refracted Economies Framework (3 July 2025).pdf
agriculture,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
arts,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
banking,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
coastal tourism,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
conservation initiatives,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
construction,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
counseling,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
distribution,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
education,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
energy systems,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
fashion,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
fintech,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
fishing,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
forestry,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
government,Organization,Describing The Refracted Economies Framework (3 July 2025).pdf
healthcare,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
insurance,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
logistics,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
manufacturing,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
maritime transport,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
media,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
mining,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
recycling programs,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
renewable energy development,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
retail,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
social work,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
software development,Industry,Describing The Refracted Economies Framework (3 July 2025).pdf
sports,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
tourism,Career_Pathway,Describing The Refracted Economies Framework (3 July 2025).pdf
African Union's Agenda 2063,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Community-Based Organizations (CBOs),Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ethiopian Water Resources Management Policy,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ethiopia's Blue Economy,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Intergovernmental Authority on Development (IGAD),Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
IoT-based monitoring,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ministry of Agriculture,Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
National Energy Policy,Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Non-Governmental Organizations (NGOs),Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
TVET programs,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Ten-Year Fishery and Aquaculture Master Plan (FAMP),Economic_Trend,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
World Bank,Organization,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
aquaculture,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
aquaculture technicians,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
boat mechanics,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
conservation,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
digital market platforms,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
digital skills,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
engineers,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fish processing specialists,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fisheries,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
fisheries management,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
green skills,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
hatchery managers,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
hydropower sector,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
remote sensing,Skill,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
technicians,Career_Pathway,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
tourism,Industry,Ethiopia Colour Coded Analysis 25-26 June 2025.pdf
Addis Ababa University,Organization,Ethiopian University Admission Prerequisites_.pdf
Certificate of Competency (CoC),Skill,Ethiopian University Admission Prerequisites_.pdf
Education and Training Authority (ETA),Organization,Ethiopian University Admission Prerequisites_.pdf
Ethiopian Civil Service University,Organization,Ethiopian University Admission Prerequisites_.pdf
Ethiopian School Leaving Examination (ESSLE),Skill,Ethiopian University Admission Prerequisites_.pdf
Higher Education Relevance and Quality Assurance Agency (HERQA),Organization,Ethiopian University Admission Prerequisites_.pdf
Ministry of Education (MoE),Organization,Ethiopian University Admission Prerequisites_.pdf
Technical and Vocational Education and Training (TVET),Career_Pathway,Ethiopian University Admission Prerequisites_.pdf
Artisanal Fisheries,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy Commission,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Coastal and Marine Tourism,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Community-led Roles,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Conservation,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Digital Skills,Skill,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Ecotourism,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Fisheries,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Freelance Consultancy,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Government of Ghana,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Green Technologies,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Marine Data Science,Skill,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Automation,Skill,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Maritime Transport,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Offshore Oil and Gas,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Ports,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Project-based Contracts,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Research,Career_Pathway,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Smart Ports,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Sustainable Aquaculture,Industry,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Sustainable Ocean Plan,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
TVET Center of Excellence for Blue Skills,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
Technical Skills,Skill,Ghana Colour Coded Analysis 25-26 June 2025.pdf
UNDP,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
World Bank,Organization,Ghana Colour Coded Analysis 25-26 June 2025.pdf
CTVET,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
Commission for Technical and Vocational Education and Training,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
Core Mathematics,Skill,Ghana Undergraduate Admission Prerequisites_.pdf
English Language,Skill,Ghana Undergraduate Admission Prerequisites_.pdf
GTEC,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
GTVETS,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
Ghana TVET Service,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
Ghana Tertiary Education Commission,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
Integrated Science,Skill,Ghana Undergraduate Admission Prerequisites_.pdf
Ministry of Education,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
NAB,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
NCTE,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
National Accreditation Board,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
National Council for Tertiary Education,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
SSSCE,Career_Pathway,Ghana Undergraduate Admission Prerequisites_.pdf
Senior School Certificate Examination,Career_Pathway,Ghana Undergraduate Admission Prerequisites_.pdf
Social Studies,Skill,Ghana Undergraduate Admission Prerequisites_.pdf
WAEC,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
WASSCE,Career_Pathway,Ghana Undergraduate Admission Prerequisites_.pdf
West African Examinations Council,Organization,Ghana Undergraduate Admission Prerequisites_.pdf
West African Senior School Certificate Examination,Career_Pathway,Ghana Undergraduate Admission Prerequisites_.pdf
Blue Economy,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy Master Plan,Economic_Trend,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Bottom-Up Economic Transformation Agenda (BETA),Economic_Trend,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Constitution of Kenya 2010,Economic_Trend,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Government of Kenya,Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Kenya,Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Kenya Marine Fisheries and Socio-Economic Development (KEMFSED),Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Kenya Marine and Fisheries Research Institute (KMFRI),Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Kenya Private Sector Alliance (KEPSA),Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Kenya Vision 2030,Economic_Trend,Kenya Colour Coded Analysis 25-26 June 2025.pdf
"Ministry of Mining, Blue Economy, and Maritime Affairs",Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
National Blue Economy Strategy,Economic_Trend,Kenya Colour Coded Analysis 25-26 June 2025.pdf
State Department for the Blue Economy and Fisheries (SDF-BE),Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Technical and Vocational Education and Training (TVET),Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
World Bank,Organization,Kenya Colour Coded Analysis 25-26 June 2025.pdf
aquaculture farmers,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
artisanal fishers,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
environmental impact assessment,Skill,Kenya Colour Coded Analysis 25-26 June 2025.pdf
fisheries,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
green technologies,Skill,Kenya Colour Coded Analysis 25-26 June 2025.pdf
mariculture,Skill,Kenya Colour Coded Analysis 25-26 June 2025.pdf
maritime transport,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
mineral resources,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
processing plant technicians,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
quality assurance officers,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
renewable energy,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
sustainable resource management,Skill,Kenya Colour Coded Analysis 25-26 June 2025.pdf
tourism,Industry,Kenya Colour Coded Analysis 25-26 June 2025.pdf
tourism enterprises,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
vessel crews,Career_Pathway,Kenya Colour Coded Analysis 25-26 June 2025.pdf
Commission for University Education (CUE),Organization,Kenya Higher Education Prerequisites_.pdf
Engineering,Skill,Kenya Higher Education Prerequisites_.pdf
Kenya Certificate of Secondary Education (KCSE),Skill,Kenya Higher Education Prerequisites_.pdf
Kenya Universities and Colleges Central Placement Service (KUCCPS),Organization,Kenya Higher Education Prerequisites_.pdf
Law,Career_Pathway,Kenya Higher Education Prerequisites_.pdf
Mathematics,Skill,Kenya Higher Education Prerequisites_.pdf
Medicine,Career_Pathway,Kenya Higher Education Prerequisites_.pdf
Private Universities,Organization,Kenya Higher Education Prerequisites_.pdf
Public Universities,Organization,Kenya Higher Education Prerequisites_.pdf
STEM,Skill,Kenya Higher Education Prerequisites_.pdf
Science,Skill,Kenya Higher Education Prerequisites_.pdf
Technical and Vocational Education and Training Authority (TVETA),Organization,Kenya Higher Education Prerequisites_.pdf
Technical and Vocational Education and Training (TVET) institutions,Organization,Kenya Higher Education Prerequisites_.pdf
Technology,Skill,Kenya Higher Education Prerequisites_.pdf
Aquaculture,Career_Pathway,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Artisanal Fishing,Career_Pathway,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Autonomous Port of Dakar (Port Autonome de Dakar - PAD),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Blue Economy,Industry,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Direction of Environment and Classified Establishments (Direction de l'Environnement et des Établissements Classés - DEEC),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Maritime Transport,Industry,Senegal Colour Coded Analysis 25-26 June 2025.pdf
"Ministry of Fisheries, Maritime, and Port Infrastructures (MPEMIP)",Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
National Agency for Maritime Affairs (Agence Nationale des Affaires Maritimes - ANAM),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
National Aquaculture Agency (Agence Nationale de l'Aquaculture - ANA),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
National Sustainable Aquaculture Development Strategy (SNDAq) for 2023 -2032,Economic_Trend,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Offshore Energy,Industry,Senegal Colour Coded Analysis 25-26 June 2025.pdf
PETROSEN (Société des Pétroles du Sénégal),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Plan Sénégal Émergent (PSE),Economic_Trend,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Republic of Senegal,Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Senegalese Shippers' Council (Conseil Sénégalais des Chargeurs - COSEC),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
U.S. Millennium Challenge Corporation (MCC),Organization,Senegal Colour Coded Analysis 25-26 June 2025.pdf
VISION SÉNÉGAL 2050 - Stratégie nationale de Développement 2025 -2029,Economic_Trend,Senegal Colour Coded Analysis 25-26 June 2025.pdf
Campusen,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
Grandes Écoles,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
MESRI,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",Organization,Senegal Undergraduate Admission Prerequisites_.pdf
SIGESR,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
Senegalese Baccalauréat,Skill,Senegal Undergraduate Admission Prerequisites_.pdf
Série G,Skill,Senegal Undergraduate Admission Prerequisites_.pdf
Série L,Skill,Senegal Undergraduate Admission Prerequisites_.pdf
Séries S,Skill,Senegal Undergraduate Admission Prerequisites_.pdf
Séries T,Skill,Senegal Undergraduate Admission Prerequisites_.pdf
Système Intégré de Gouvernance de l'Enseignement supérieur et de la Recherche,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
TVET,Career_Pathway,Senegal Undergraduate Admission Prerequisites_.pdf
Technical and Vocational Education and Training,Career_Pathway,Senegal Undergraduate Admission Prerequisites_.pdf
UCAD,Organization,Senegal Undergraduate Admission Prerequisites_.pdf
Aquaculture,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
CareerJunction,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Coastal and Marine Tourism,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
DPSA Vacancy Circulars,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Data Science,Skill,South Africa Colour Coded Analysis 25-26 June 2025.pdf
"Department of Forestry, Fisheries and the Environment (DFFE)",Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Indeed South Africa,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Conservation,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Manufacturing,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Protection Services,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Renewable Energy,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Research,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Robotics,Skill,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Marine Transport,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
National Seafarer Development Programme,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Ocean Governance,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Offshore Oil and Gas Exploration,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Operation Phakisa,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
PNet,Organization,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Port Operations,Career_Pathway,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Resource Extraction,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Ship Repair,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Small-Scale Fisheries,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
Small Harbours Development,Industry,South Africa Colour Coded Analysis 25-26 June 2025.pdf
APS,Skill,South African Higher Education Prerequisites_.pdf
Accounting,Skill,South African Higher Education Prerequisites_.pdf
Admission Point Score,Skill,South African Higher Education Prerequisites_.pdf
Agricultural Sciences,Skill,South African Higher Education Prerequisites_.pdf
Architectural Design,Career_Pathway,South African Higher Education Prerequisites_.pdf
Business Studies,Skill,South African Higher Education Prerequisites_.pdf
DHET,Organization,South African Higher Education Prerequisites_.pdf
Department of Higher Education and Training,Organization,South African Higher Education Prerequisites_.pdf
Design,Skill,South African Higher Education Prerequisites_.pdf
Economics,Skill,South African Higher Education Prerequisites_.pdf
Geography,Skill,South African Higher Education Prerequisites_.pdf
History,Skill,South African Higher Education Prerequisites_.pdf
Information Technology,Skill,South African Higher Education Prerequisites_.pdf
Languages,Skill,South African Higher Education Prerequisites_.pdf
Life Sciences,Skill,South African Higher Education Prerequisites_.pdf
Mathematical Literacy,Skill,South African Higher Education Prerequisites_.pdf
Mathematics,Skill,South African Higher Education Prerequisites_.pdf
NSC,Skill,South African Higher Education Prerequisites_.pdf
National Senior Certificate,Skill,South African Higher Education Prerequisites_.pdf
Physical Sciences,Skill,South African Higher Education Prerequisites_.pdf
Umalusi,Organization,South African Higher Education Prerequisites_.pdf
